drug_id	target_id	gene_name
DB08453	BE0003908	petM
DB05262	BE0002204	XDH
DB11093	BE0002145	SPARC
DB02321	BE0001497	luxS
DB01229	BE0003475	MAP4
DB03203	BE0001612	
DB05505	BE0001893	TBXAS1
DB01295	BE0000694	ADRB2
DB08519	BE0000369	KDR
DB01422	BE0004812	
DB00139	BE0000176	SDHA
DB00167	BE0000721	BCAT2
DB01942	BE0002654	CYTH2
DB06471	BE0000013	ADORA1
DB05060	BE0002403	NS5b
DB03088	BE0004457	AMY2B
DB03607	BE0001397	apr
DB05142	BE0003393	PDE2A
DB00392	BE0000560	CHRM2
DB07876	BE0003761	PRKACA
DB01135	BE0000560	CHRM2
DB04724	BE0000516	ITGAL
DB06693	BE0000574	HMGCR
DB04463	BE0003074	CBR1
DB04233	BE0003978	tbuX
DB07408	BE0002012	map
DB03017	BE0001432	GM2A
DB00114	BE0004612	IGSF10
DB00171	BE0000264	ACVR1
DB05752	BE0000405	CHRM4
DB00116	BE0002177	MTFMT
DB07343	BE0002050	gag-pol
DB09060	BE0008649	bla
DB02998	BE0003740	NCOA2
DB02656	BE0001277	PIM1
DB01238	BE0000945	HTR6
DB04395	BE0002790	MAPK12
DB04649	BE0003364	bsd
DB04172	BE0000895	PLAU
DB00232	BE0000267	CA1
DB06637	BE0004725	KCNC3
DB02394	BE0001243	
DB01790	BE0003425	PRKAR1A
DB01987	BE0003276	tktA
DB02991	BE0000067	NOS1
DB00537	BE0008386	parE
DB08296	BE0002815	IGHG1
DB11348	BE0008692	SRI
DB04272	BE0004566	IL4I1
DB06866	BE0000048	F2
DB00128	BE0003751	LYZ
DB01156	BE0000486	SLC6A2
DB01961	BE0003317	RNASE1
DB00281	BE0000767	EGFR
DB07918	BE0004127	fdnH
DB00157	BE0000348	MT-ND6
DB00113	BE0000107	CEACAM1
DB02431	BE0002745	rfbF
DB06694	BE0000572	ADRA2B
DB04137	BE0001453	P2
DB04951	BE0002397	FURIN
DB01992	BE0001298	
DB09555	BE0000442	HRH1
DB01589	BE0004797	GABRA1
DB02787	BE0002562	synC
DB05521	BE0004701	NS3/4A
DB03435	BE0001934	bgt
DB07652	BE0003870	POLK
DB03485	BE0001678	araF
DB00189	BE0004797	GABRA1
DB00075	BE0003458	CD247
DB04932	BE0000013	ADORA1
DB00172	BE0000423	SLC6A14
DB02379	BE0004796	
DB03619	BE0004056	ctaC
DB01099	BE0004796	
DB01193	BE0000694	ADRB2
DB04430	BE0001568	bla
DB08231	BE0001210	gag-pol
DB01267	BE0000342	ADRA2C
DB00686	BE0000689	FGF1
DB08070	BE0003762	PKIA
DB05767	BE0001086	NFKB1
DB06589	BE0000023	FLT4
DB13151	BE0000216	F10
DB02216	BE0001145	MGMT
DB05219	BE0000487	PDE4B
DB01114	BE0000442	HRH1
DB02078	BE0004297	
DB02580	BE0004307	gpmA
DB00999	BE0001653	CA12
DB03849	BE0000487	PDE4B
DB00464	BE0000943	PROS1
DB02621	BE0004161	GSN
DB01589	BE0000523	GABRA3
DB03253	BE0000854	DPP4
DB00155	BE0001092	PADI4
DB03844	BE0000322	CA2
DB02621	BE0002101	ACTA1
DB07853	BE0004108	CAMK2D
DB01055	BE0000331	SHMT1
DB08080	BE0002101	ACTA1
DB07181	BE0000854	DPP4
DB00867	BE0000694	ADRB2
DB07997	BE0003761	PRKACA
DB01911	BE0001307	hemH
DB00615	BE0000257	rpoB
DB06626	BE0000023	FLT4
DB08109	BE0001430	ampC
DB00118	BE0000323	CBS
DB01603	BE0004290	pbpA
DB06207	BE0000575	ADRA1B
DB04957	BE0000489	KCNE1
DB04315	BE0001848	der
DB06262	BE0000572	ADRA2B
DB03247	BE0003028	mdlB
DB01853	BE0001362	fmoA
DB08332	BE0002815	IGHG1
DB00157	BE0000299	SORD
DB04279	BE0001249	icd
DB02282	BE0001456	rsrIM
DB01858	BE0003417	CTSK
DB00752	BE0002198	MAOA
DB03313	BE0004290	pbpA
DB04198	BE0002011	deoD
DB09559	BE0000767	EGFR
DB03487	BE0002023	cheY
DB06403	BE0000521	EDNRA
DB03301	BE0001248	E
DB02720	BE0000916	PYGM
DB08528	BE0001594	gag-pol
DB01948	BE0001019	MAPK14
DB00976	BE0004800	
DB03247	BE0003032	fni
DB00668	BE0000172	ADRB1
DB00517	BE0000560	CHRM2
DB00248	BE0004915	
DB07678	BE0003740	NCOA2
DB00128	BE0000187	ASPA
DB01159	BE0000433	GLRA1
DB07157	BE0003257	CPB1
DB01752	BE0001211	cmaA2
DB04147	BE0004178	pufM
DB02032	BE0002693	blaFEZ-1
DB08152	BE0000048	F2
DB08818	BE0004702	HMMR
DB08525	BE0002536	def
DB08125	BE0001072	CDK2
DB08538	BE0001072	CDK2
DB03661	BE0001497	luxS
DB00594	BE0000678	ASIC2
DB04529	BE0003321	gtfD
DB08770	BE0000924	ADORA2A
DB05327	BE0000747	AKR1B1
DB04315	BE0004542	TUFM
DB01156	BE0003585	CHRNA3
DB03218	BE0000916	PYGM
DB08271	BE0001116	MMP3
DB00431	BE0000433	GLRA1
DB08394	BE0002815	IGHG1
DB00347	BE0000483	CACNA1G
DB08179	BE0000962	GLO1
DB04522	BE0002522	cysG
DB00071	BE0002126	IGFBP7
DB00836	BE0000418	CALM1
DB04094	BE0000695	FKBP1A
DB03880	BE0003730	ADAMTS5
DB00166	BE0000040	LIPT1
DB01174	BE0000795	GABRA1
DB06404	BE0002440	KLKB1
DB00438	BE0003687	ponB
DB07018	BE0002050	gag-pol
DB03147	BE0002067	trxB
DB07322	BE0001534	METAP2
DB00157	BE0000604	ME1
DB04947	BE0000647	SLC6A3
DB00157	BE0000287	ALDH9A1
DB08437	BE0003825	RPL23
DB04137	BE0003814	ARF1
DB00484	BE0000342	ADRA2C
DB02116	BE0001082	CDK1
DB04552	BE0003997	PLA2G1B
DB04216	BE0003841	ATP5B
DB01369	BE0004800	
DB00842	BE0003595	GABRE
DB04646	BE0002472	petB
DB03761	BE0004794	thyA1
DB03860	BE0000792	ESR2
DB04560	BE0000050	ALAD
DB07131	BE0001739	PRSS1
DB01092	BE0000732	ATP1A1
DB04946	BE0000291	HTR1A
DB02379	BE0001108	HK1
DB08658	BE0002180	BCHE
DB03978	BE0004369	YARS
DB01645	BE0000123	ESR1
DB04272	BE0003269	17
DB04104	BE0001657	tag
DB00211	BE0000575	ADRA1B
DB05386	BE0002482	CSF2RA
DB00157	BE0000676	NDUFB8
DB00527	BE0000197	SCN5A
DB03354	BE0000916	PYGM
DB05463	BE0001171	TLR9
DB02158	BE0001128	MTAP
DB01392	BE0000451	HTR2A
DB03017	BE0001326	fhuA
DB01260	BE0000794	NR3C1
DB01401	BE0000262	PTGS2
DB11093	BE0002950	S100A6
DB08795	BE0004335	pbp1b
DB08558	BE0001688	fbpC
DB01329	BE0000488	mrcB
DB12334	BE0000026	TUBB1
DB07290	BE0001363	lef
DB08558	BE0004338	LCT
DB00687	BE0000132	AR
DB01054	BE0002396	CACNA2D2
DB00138	BE0001130	SLC3A1
DB08846	BE0001209	CSNK2A1
DB00683	BE0000381	GABRA2
DB00898	BE0005190	KCNJ9
DB00161	BE0000544	PCCB
DB04279	BE0001699	leuB
DB01285	BE0001026	CRH
DB01942	BE0001368	ygbM
DB00233	BE0004655	CHUK
DB00018	BE0000385	IFNAR2
DB00170	BE0000724	BGLAP
DB08185	BE0004210	rpsG
DB00824	BE0000487	PDE4B
DB07410	BE0003350	ispU
DB08798	BE0002360	
DB00751	BE0000650	HTR7
DB06900	BE0003746	PRSS8
DB02681	BE0004552	CKS1B
DB04143	BE0004065	trpA
DB01149	BE0000647	SLC6A3
DB06616	BE0001072	CDK2
DB07267	BE0003782	TGFBR1
DB03444	BE0001065	GSK3B
DB02857	BE0000250	PNP
DB05147	BE0001367	TUBB4B
DB00546	BE0003593	GABRG1
DB00157	BE0000128	HIBADH
DB08545	BE0004339	
DB07080	BE0001598	NR1H2
DB00201	BE0002406	PIK3CD
DB03772	BE0000214	ABO
DB08690	BE0003846	sdhC
DB06589	BE0000205	PDGFRB
DB02482	BE0000923	MAPK1
DB03317	BE0002872	
DB04644	BE0000916	PYGM
DB04253	BE0001616	nfsB
DB03991	BE0001724	HN
DB03793	BE0003031	nfsB
DB01296	BE0002387	NFKB2
DB01864	BE0004558	RAB11A
DB03822	BE0002180	BCHE
DB04039	BE0001470	btuB
DB03491	BE0003106	NME1
DB07162	BE0002408	JAK2
DB01180	BE0000221	ACE
DB12340	BE0003421	BAD
DB03203	BE0001854	GLTP
DB01150	BE0002392	pbpX
DB01149	BE0000289	ADRA2A
DB04464	BE0004088	atpH
DB02656	BE0001315	PIK3CG
DB00880	BE0000322	CA2
DB00036	BE0000403	GGCX
DB02098	BE0001306	RNASE2
DB03814	BE0004638	ARL3
DB00172	BE0000060	P4HA1
DB01105	BE0000749	SLC6A4
DB03813	BE0004016	fabA
DB04371	BE0000322	CA2
DB02142	BE0001512	arnB
DB01846	BE0001298	
DB00253	BE0000794	NR3C1
DB01309	BE0000033	INSR
DB07717	BE0000132	AR
DB00145	BE0000745	GLRA2
DB00580	BE0000262	PTGS2
DB00370	BE0004863	ADRA1A
DB00051	BE0002099	FCGR2B
DB01224	BE0000389	DRD4
DB03566	BE0001979	TXNRD1
DB01463	BE0000647	SLC6A3
DB00393	BE0003721	AHR
DB08912	BE0004757	SIK1
DB08187	BE0000048	F2
DB01440	BE0004841	SLC52A2
DB01496	BE0000381	GABRA2
DB00784	BE0000262	PTGS2
DB02535	BE0000322	CA2
DB04869	BE0001103	CALCA
DB05417	BE0000433	GLRA1
DB00133	BE0000441	SPTLC1
DB03581	BE0001423	glmS
DB01277	BE0000970	IGFBP3
DB06800	BE0000770	OPRM1
DB01236	BE0000218	ATP2C1
DB07131	BE0000048	F2
DB03333	BE0000322	CA2
DB00243	BE0001143	SCN9A
DB07392	BE0003850	puhA
DB06616	BE0004743	BCR
DB01972	BE0001273	TGM3
DB04768	BE0000157	TPK1
DB00626	BE0004829	
DB02780	BE0002838	env
DB02076	BE0001436	gntK
DB02930	BE0001592	recQ
DB00690	BE0003592	GABRG2
DB00131	BE0000958	CREB1
DB09228	BE0000048	F2
DB01198	BE0000736	TSPO
DB01942	BE0002664	fbpA
DB03766	BE0001344	alr
DB05149	BE0003382	CHEK1
DB00483	BE0000560	CHRM2
DB11348	BE0008709	CAPS
DB00570	BE0001340	TUBA1A
DB11093	BE0004557	NCS1
DB03948	BE0000761	IMPDH1
DB06404	BE0002093	C1R
DB00041	BE0002102	IL2RG
DB00933	BE0000451	HTR2A
DB07565	BE0001544	draA
DB00143	BE0002283	ESD
DB04820	BE0002089	COMT
DB01050	BE0003591	FABP2
DB00157	BE0000648	GSR
DB06894	BE0003744	sdsA1
DB01210	BE0000694	ADRB2
DB02038	BE0003132	pabC
DB08226	BE0003366	rpoA
DB03127	BE0001739	PRSS1
DB04751	BE0003958	CSNK1G3
DB00880	BE0000419	SLC12A3
DB03814	BE0004641	PRDX6
DB04147	BE0004169	ceaC
DB00200	BE0000777	MUT
DB00706	BE0000501	ADRA1A
DB04299	BE0001217	aspC
DB00589	BE0000659	HTR1D
DB00175	BE0000574	HMGCR
DB03801	BE0001258	murD
DB00199	BE0004800	
DB01810	BE0001292	
DB02981	BE0001217	aspC
DB01115	BE0000430	CACNA1C
DB00402	BE0000523	GABRA3
DB03435	BE0004498	GYG1
DB02142	BE0001465	aspC
DB07932	BE0000123	ESR1
DB07023	BE0001021	F11
DB00221	BE0000172	ADRB1
DB02497	BE0004149	ANXA5
DB00111	BE0002095	C1QB
DB02818	BE0000829	GRIA2
DB06870	BE0000132	AR
DB00310	BE0000502	SLC12A1
DB00928	BE0004810	
DB00454	BE0000749	SLC6A4
DB03088	BE0001671	AMY1A
DB08690	BE0003954	puhA
DB02574	BE0001496	ctxB
DB01444	BE0000770	OPRM1
DB01069	BE0000405	CHRM4
DB03192	BE0000408	HSD17B4
DB01215	BE0002345	GABRB3
DB03648	BE0002810	
DB00552	BE0002214	ADA
DB09052	BE0003496	CD19
DB00054	BE0001068	VTN
DB00477	BE0004879	ORM1
DB08564	BE0000838	SRC
DB04761	BE0000966	MMP13
DB07994	BE0000988	BACE1
DB03814	BE0003191	L3MBTL1
DB08556	BE0003752	
DB03787	BE0001506	dgdA
DB04360	BE0001358	ampC
DB03028	BE0000941	CTSD
DB08185	BE0004220	rpsB
DB04125	BE0001739	PRSS1
DB03147	BE0001969	phr
DB07530	BE0003728	NCOA1
DB03429	BE0000599	SLC25A4
DB11596	BE0001838	glyA
DB00285	BE0000749	SLC6A4
DB01142	BE0000501	ADRA1A
DB06663	BE0002147	SSTR5
DB00393	BE0002355	CACNA1S
DB01224	BE0000575	ADRA1B
DB02570	BE0004144	CAPNS1
DB07671	BE0003846	sdhC
DB08687	BE0002374	HIF1A
DB08837	BE0002343	CHRNA9
DB04855	BE0000090	KCNH2
DB00312	BE0000829	GRIA2
DB07284	BE0000988	BACE1
DB11093	BE0005274	NRXN1
DB02426	BE0000599	SLC25A4
DB01406	BE0000132	AR
DB03216	BE0001684	AHCY
DB02262	BE0001452	pyrC
DB02325	BE0003317	RNASE1
DB00269	BE0000123	ESR1
DB08270	BE0003417	CTSK
DB00804	BE0000560	CHRM2
DB00239	BE0004668	ERG7
DB07318	BE0000005	NOS2
DB00820	BE0003558	PDE11A
DB00248	BE0000694	ADRB2
DB05078	BE0002421	IL13RA2
DB01884	BE0000854	DPP4
DB07641	BE0002198	MAOA
DB07903	BE0004117	METAP1
DB06204	BE0000311	HTR3A
DB04492	BE0001329	cslB
DB08591	BE0000623	PTPN1
DB00285	BE0000647	SLC6A3
DB07493	BE0001072	CDK2
DB06875	BE0000792	ESR2
DB03740	BE0001648	SIGLEC7
DB08231	BE0001732	gag-pol
DB00668	BE0000289	ADRA2A
DB07427	BE0000130	HBA1
DB01595	BE0000141	SCN1A
DB07057	BE0001358	ampC
DB08231	BE0004232	fadR
DB01583	BE0000687	THRA
DB02763	BE0000981	IL12B
DB07152	BE0003782	TGFBR1
DB01624	BE0000289	ADRA2A
DB01595	BE0003592	GABRG2
DB03564	BE0001225	xylA
DB00073	BE0002096	C1QC
DB05266	BE0000487	PDE4B
DB08848	BE0000249	SLC6A1
DB00314	BE0004846	
DB07763	BE0003858	UQCRFS1
DB02059	BE0002544	ndx4
DB03109	BE0001584	chiB
DB00683	BE0003619	GABRR3
DB01841	BE0001393	tvaI
DB00707	BE0000710	FCGR1A
DB03564	BE0003131	
DB05212	BE0001086	NFKB1
DB02379	BE0001996	malE
DB05014	BE0000205	PDGFRB
DB08351	BE0001019	MAPK14
DB08361	BE0001316	SYK
DB03144	BE0000005	NOS2
DB06986	BE0000916	PYGM
DB00142	BE0002276	SLC25A22
DB02007	BE0001108	HK1
DB04850	BE0002198	MAOA
DB06148	BE0000647	SLC6A3
DB08153	BE0001898	HSP90AB1
DB03147	BE0000160	CYB5R3
DB04224	BE0004171	PMP2
DB01224	BE0000342	ADRA2C
DB04037	BE0001568	bla
DB08728	BE0004018	
DB00654	BE0000610	PTGFR
DB03828	BE0000838	SRC
DB02869	BE0003417	CTSK
DB01147	BE0000142	penA
DB00897	BE0003598	GABRR2
DB13158	BE0000794	NR3C1
DB02710	BE0001084	LCN2
DB04646	BE0002473	petD
DB03994	BE0002809	nspA
DB00318	BE0000632	OPRK1
DB07306	BE0000005	NOS2
DB07841	BE0000776	FDPS
DB01328	BE0000588	mrcA
DB03382	BE0003066	
DB00145	BE0000518	GCAT
DB07490	BE0003962	frdD
DB01324	BE0000419	SLC12A3
DB03250	BE0000916	PYGM
DB00148	BE0000714	CKM
DB01388	BE0000303	CACNB1
DB03262	BE0000322	CA2
DB06847	BE0003735	dfrB
DB04510	BE0001611	pgk/tpi
DB06853	BE0000048	F2
DB05630	BE0000971	TOP1
DB07853	BE0004109	STK26
DB11093	BE0008709	CAPS
DB01622	BE0000451	HTR2A
DB08627	BE0000801	fabB
DB00247	BE0000533	HTR2C
DB01073	BE0002804	DCK
DB04464	BE0003816	narH
DB01656	BE0001133	PDE4A
DB00502	BE0000020	DRD1
DB00157	BE0000587	HMOX2
DB04272	BE0000845	BHMT
DB00549	BE0000705	CYSLTR1
DB03151	BE0002992	
DB07587	BE0001646	CTSS
DB05752	BE0000560	CHRM2
DB01256	BE0000843	rplC
DB04799	BE0003858	UQCRFS1
DB00854	BE0000420	OPRD1
DB00674	BE0003585	CHRNA3
DB00126	BE0000060	P4HA1
DB01065	BE0000418	CALM1
DB11614	BE0005561	PTAFR
DB08098	BE0000747	AKR1B1
DB01558	BE0002344	GABRB1
DB00267	BE0000576	pbpA
DB00613	BE0002436	HNMT
DB02660	BE0000487	PDE4B
DB00246	BE0000560	CHRM2
DB03628	BE0000838	SRC
DB07311	BE0003382	CHEK1
DB11348	BE0008710	CADPS2
DB00543	BE0004797	GABRA1
DB01069	BE0000560	CHRM2
DB02379	BE0002060	celB
DB07636	BE0003858	UQCRFS1
DB05468	BE0000590	ITGA4
DB00281	BE0000197	SCN5A
DB09304	BE0004862	HTR1A
DB03721	BE0000912	REG1A
DB02632	BE0001421	lacZ
DB05685	BE0003403	CDH5
DB02267	BE0001471	argG
DB03939	BE0001862	codA
DB03371	BE0002706	ptd
DB00544	BE0004796	
DB01588	BE0000129	GABRR1
DB00696	BE0000533	HTR2C
DB08247	BE0001072	CDK2
DB00458	BE0000247	CHRM5
DB07763	BE0003854	CYC1
DB01043	BE0000417	GRIN2B
DB07353	BE0000048	F2
DB03688	BE0001630	bioH
DB02789	BE0001264	SULT2B1
DB00491	BE0000837	MGAM
DB00171	BE0000750	ASNA1
DB01049	BE0000756	DRD2
DB07931	BE0000126	AKR1C1
DB06938	BE0000369	KDR
DB01159	BE0001200	RHO
DB00493	BE0001018	SLC15A1
DB00126	BE0002213	ALKBH3
DB04795	BE0000176	SDHA
DB00048	BE0002141	COL1A2
DB01356	BE0001065	GSK3B
DB04889	BE0000486	SLC6A2
DB04068	BE0003106	NME1
DB00248	BE0000650	HTR7
DB02630	BE0001250	ulaD
DB00485	BE0004646	LMHCC_2773
DB04004	BE0001405	tgt
DB11994	BE0001598	NR1H2
DB01764	BE0001238	vatD
DB00277	BE0000013	ADORA1
DB11652	BE0000511	ERBB2
DB02508	BE0000776	FDPS
DB03147	BE0002975	lpdA
DB00141	BE0000391	NAGLU
DB00952	BE0000659	HTR1D
DB06851	BE0003737	ppa
DB07137	BE0001072	CDK2
DB02726	BE0003844	TPI1
DB07838	BE0003780	NMT2
DB00140	BE0000595	BLVRB
DB00761	BE0000047	SLC12A5
DB07260	BE0001680	LTA4H
DB02845	BE0000426	ACHE
DB04547	BE0002050	gag-pol
DB01887	BE0001342	gag-pol
DB01805	BE0004529	PRSS2
DB00706	BE0000575	ADRA1B
DB03950	BE0000322	CA2
DB00142	BE0004640	CPQ
DB01229	BE0003474	MAPT
DB06148	BE0004863	ADRA1A
DB00811	BE0000282	PB1
DB01588	BE0003598	GABRR2
DB00527	BE0000177	SCN10A
DB00601	BE0004800	
DB08811	BE0000436	PDE3A
DB08439	BE0000262	PTGS2
DB00198	BE0000914	NEU1
DB03366	BE0002755	mutY
DB00142	BE0000346	GRIK1
DB08949	BE0000635	HCAR2
DB00785	BE0000560	CHRM2
DB00122	BE0002179	PLD2
DB01325	BE0000419	SLC12A3
DB00170	BE0000547	PROZ
DB02355	BE0002733	cyaC
DB08372	BE0001594	gag-pol
DB01942	BE0002655	gcdA
DB01812	BE0001306	RNASE2
DB00443	BE0000794	NR3C1
DB00129	BE0000258	SLC25A2
DB00104	BE0000452	SSTR1
DB00420	BE0000560	CHRM2
DB03461	BE0001251	IDH1
DB06809	BE0000919	CXCR4
DB03317	BE0003053	nirM
DB00622	BE0002359	CACNA1D
DB00934	BE0000405	CHRM4
DB00831	BE0000418	CALM1
DB04233	BE0003979	
DB03735	BE0002011	deoD
DB08373	BE0004289	SCGB1A1
DB00899	BE0000632	OPRK1
DB00116	BE0002176	MTHFR
DB08327	BE0003806	pac
DB03347	BE0004036	opd
DB07040	BE0002622	ligA
DB02683	BE0002050	gag-pol
DB01053	BE0004654	pbp3
DB03397	BE0001521	GALE
DB00607	BE0003624	penA
DB07009	BE0003728	NCOA1
DB00523	BE0000144	RARG
DB00270	BE0002359	CACNA1D
DB04855	BE0000303	CACNB1
DB08706	BE0001478	
DB08578	BE0001478	
DB07287	BE0000332	inhA
DB00200	BE0000320	MMAA
DB05740	BE0000411	CHRNA10
DB04709	BE0000132	AR
DB09330	BE0000767	EGFR
DB06216	BE0000581	DRD3
DB01598	BE0000302	blaZ
DB02415	BE0004172	cirA
DB01721	BE0001265	gag-pol
DB01412	BE0000487	PDE4B
DB08838	BE0004661	CHRNA1
DB11348	BE0008705	
DB00129	BE0000136	SLC7A3
DB00716	BE0001120	HSP90AA1
DB09040	BE0000690	ERG11
DB01196	BE0001100	MAP2
DB04058	BE0003753	CPA1
DB01411	BE0001208	IL5
DB00670	BE0000092	CHRM1
DB00780	BE0002196	MAOB
DB03566	BE0002032	potD
DB03619	BE0004055	ctaD
DB00675	BE0004877	EBP
DB01857	BE0001282	glnG
DB05790	BE0000384	TACR1
DB00917	BE0000064	PTGER1
DB07049	BE0000329	HSD11B1
DB04074	BE0001742	leuA
DB00114	BE0000898	ALAS2
DB08076	BE0004154	accC
DB00945	BE0000017	PTGS1
DB05472	BE0000385	IFNAR2
DB04425	BE0001289	folB
DB00126	BE0002205	ALKBH2
DB00157	BE0000297	LDHAL6A
DB00112	BE0000710	FCGR1A
DB02659	BE0003990	COX6C
DB02078	BE0004296	lolB
DB02580	BE0004306	
DB03532	BE0001813	ftsZ
DB02754	BE0001120	HSP90AA1
DB01708	BE0004956	GRIN1
DB01598	BE0000790	pbpC
DB02264	BE0001541	HS3ST3A1
DB05488	BE0002425	TOP2B
DB03061	BE0000465	ADH1C
DB05184	BE0000838	SRC
DB05080	BE0000442	HRH1
DB00144	BE0000189	SCARB1
DB02621	BE0002604	
DB00070	BE0004821	
DB07159	BE0001316	SYK
DB01338	BE0000045	CHRM3
DB01614	BE0000451	HTR2A
DB06953	BE0002372	FNTB
